"gene"	"drug.status"	"Synonym"	"Payload"	"drugs"	"Indications"
"CEACAM5"	"Clinical trial"	""	"TOP1 inhibitor;Ravtansine (DM4) (tubulin)"	"M9140 (EMD Serono);Tusamitamab ravtansine (Sanofi)"	"Advanced refractory solid tumors;Advanced refractory solid tumors"
"CEACAM6"	"Clinical trial"	"CD66c"	"SN38 (TOP1)"	"EBC-129"	"Advanced refractory solid tumors"
"CLDN18"	"Clinical trial"	"CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.3"	"?;Monomethyl auristatin E (MMAE) (tubulin);TOP1 inhibitor;Monomethyl auristatin E (MMAE) (tubulin);Monomethyl auristatin E (MMAE) (tubulin)"	"TQB2103;EO-3021;SKB315;RC118;TORL-2-307-ADC"	"Advanced refractory solid tumors: Gastric and pancreatic;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2"
"CLDN6"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"TORL-1-23"	"Advanced refractory solid tumors"
"DLK1"	"Clinical trial"	""	"PBD (DNA)"	"ADCT-701"	"ACC…"
"DLL3"	"Clinical trial"	""	"T-cell engager CD3;TOP1 (10-11-MDO-7-propyl-CPT derivative = C24;DAR8)"	"Tarlatamab;ZL-1310"	";SCLC…"
"EGFR"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin);Deruxtecan (TOP1);Eribulin (tubulin)"	"MRG003;AZD9592;BB-1705"	"EGFR-positive metastatic or advanced solid tumors;EGFR-positive metastatic or advanced solid tumors;Advanced refractory solid tumors"
"ERBB2"	"Clinical trial"	"HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2"	"Duocarmycin (DNA);?;Emtansine (tubulin);Monomethyl auristatin E (MMAE) (tubulin);TOP1 inhibitor;?;?;DM1 (Entactin = Myantansine derivative) (tubulin);Deruxtecan (TOP1);Monomethyl auristatin E (MMAE) (tubulin);?;? (degrader)d"	"Trastuzumab Duocarmazine (SYD985);CPO-301;IKS014;RC48-ADC;TQB2103;GQ1007;BDC-1001;GQ1001;Patritumab deruxtecan;MRG002;DF1001;ORM-5029"	"HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive breast cancer;HER2-positive breast cancer;HER2-positive cancers;HER2-positive cancers"
"ERBB3"	"Clinical trial"	"HER3"	"Deruxtecan (TOP1)"	"Patritumab deruxtecan (U3-1402)"	"HER3-positive cancers - NSCLC and breast cancer"
"F3"	"Clinical trial"	"TF, Coagulation Factor 3;TF, Coagulation Factor 3"	"Monomethyl auristatin E (MMAE) (tubulin);?"	"XB002;MRG004A (DAR4)"	"Advanced refractory solid tumors;Advanced refractory solid tumors"
"FAP"	"Clinical trial"	"MTX5?"	"Tubulysin (tubulin)"	"OMTX705"	"Advanced refractory solid tumors"
"FN1"	"Clinical trial"	""	"Auristatin 0101"	"PYX-201"	"Advanced refractory solid tumors"
"FOLH1"	"Clinical trial"	"PSMA"	"Microtubule inhibitor"	"ARX517-PSMA-ADC"	"PSMA expressing tumors"
"FOLR1"	"Clinical trial"	"Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha"	"DUO-5 (tubulin);3-aminophenyl hemiasterlin (SC209);Eribulin (tubulin);DM4 (Maytansinoid derivative) (tubulin);DM21 (Maytansinoid derivative) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);Deruxtecan (TOP1);Monomethyl auristatin E (MMAE) (tubulin);Exatecan (TOP1)"	"AMT-151;Luveltamab tazevibulin (STRO-002);Farletuzumab Ecteribulin (MORAb-202);Mirvetuximab soravtansine (IMGN853);IMGN151-1001;CBP-1008;AZD5335;CBP-1018;PRO1184"	"Ovarian cancer;Ovarian and endomietrial cancers;Ovarian , endomietrial and NSCL cancers;;Recurrent endometrial cancer, recurrent, high-grade serous epithelial ovarian, primary peritoneal, or fallopian tube cancers;Advanced refractory solid tumors;Ovarian cancer;Advanced refractory solid tumors;"
"GPNMB"	"Clinical trial"	""	"Vedotin (tubulin)"	"Glembatumumab vedotin"	"Metastatic melanoma, triple-negative breast cancer"
"IL3RA:ENSG00000185291.12"	"Clinical trial"	"CD123, IL3RA;CD123, IL3RA"	"PBD dimer (DNA);Deruxtecan (TOP1)"	"Pivekimab sunirine (IMGN632);AZD9829"	"Hematologic malignancies CD123+;Hematologic malignancies CD123+"
"LY75"	"Clinical trial"	"CD205"	"DM4 (tubulin)"	"OBT076"	"Tumor expressing high CD205"
"MET"	"Clinical trial"	""	"M24 (Myantansine derivative) (tubulin);;TOP1 inhibitor"	"REGN5093-M114;RC108-ADC;ABBV-400"	"MET overexpressing advanced cancers (NSCLC);MET overexpressing advanced cancers (NSCLC);Advanced refractory solid tumors"
"MSLN"	"Clinical trial"	"Mesothelin"	"Ravtansine (DM4) (tubulin)"	"Anetumab ravtansine"	"Various solid tumors including mesothelioma, pancreatic cancer and ovarian cancer"
"MUC1"	"Clinical trial"	"Mucin 1"	"Deruxtecan (TOP1)"	"DS-3939"	"Advanced refractory solid tumors"
"NCAM1"	"Clinical trial"	"CD56"	"DM1 (Myantansine derivative) (tubulin)"	"IMGN901"	"CD56-expressing tumors (SCLC, MCC (Merkel cell carcinoma), ovarian)"
"NECTIN4"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);?;AP052 (tubulin);TOP1 inhibitor"	"9MW2821;CRB-701;LY4101174;ADRX-0706;BAT8007"	"Urothelial cancer and advanced Malignant solid tumors;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4"
"ROR1"	"Clinical trial"	"Tyrosine Kinase Orphan"	"PBD (DNA)"	"CS5001"	"Advanced refractory solid tumors"
"ROR2"	"Clinical trial"	"Tyrosine Kinase Orphan"	"Vedotin (tubulin)"	"Ozuriftamab vedotin (CAB-ROR2-ADC)"	"Advanced refractory solid tumors"
"SEZ6"	"Clinical trial"	""	"Calicheamcin;TOP1? (undisclosed)"	"ABBV-011;ABBV-706"	"Relapsed or refractory (R/R) SCLC;Relapsed or refractory (R/R) SCLC"
"TACSTD2"	"Clinical trial"	"TROP-2;TROP-2"	"Deruxtecan (TOP1);T030 (TOP1)"	"Datopotamab deruxtecan;Sacitizumab tirumotecan"	"TROP-2 overexpressing tumors;"
"VTCN1"	"Clinical trial"	"B7H4;B7H4"	"Microtubule inhibitor;Deruxtecan (TOP1)"	"XMT-1660;AZD8205"	"Breast, ovarian and endometrial cancers;Various preclinical cancer models"
"CD38"	"Preclinical"	"CADPR1"	"Lenalidomide"	"TE-1146 (Dartumab lenalidomide)"	"Preclinical"
"CEACAM6"	"Preclinical"	"CD66c"	"EBET (protein degrader)"	"84-EBET"	"Preclinical"
"DLL3"	"Preclinical"	""	"TOP1 inhibitor (P1021)"	"DB-1314"	"SCLC…"
"EGFR"	"Preclinical"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"Cetuximab MMAE (AGCM-22)"	"Preclinical Glioblastoma"
"ERBB3"	"Preclinical"	"HER3"	"P1003 (P1021?) (TOP1)"	"DB-1310"	"HER3-positive cancers - NSCLC and breast cancer"
"FOLR1"	"Preclinical"	"Folate Receptor alpha"	"TOP1 inhibitor"	"BAT8006"	"Advanced refractory solid tumors"
"GPC1"	"Preclinical"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"GPC1-ADC"	"Glioblastoma"
"ICAM1"	"Preclinical"	"CD54"	"Deruxtecan (TOP1)"	"I1-Dxd"	"Metastatic melanoma, triple-negative breast cancer"
"NCAM1"	"Preclinical"	"CD56"	"Monomethyl auristatin E (MMAE) (tubulin)"	"Adcitmer"	"MCC (Merkel cell carcinoma)"
"SEMA7A"	"Preclinical"	""	"Auristatin  E/DM1"	"5E3-vedotin"	"Relapsed or refractory multiple myeloma"
